Time,PRICE,SIZE,EXCHANGE
10:00:00.009,135.14,100,V
10:00:00.010,135.14,100,V
10:00:00.013,135.13,100,D
10:00:00.015,135.13,300,D
10:00:00.016,135.13,150,D
10:00:00.097,135.14,2,D
10:00:00.656,135.15,300,D
10:00:00.658,135.15,1200,D
10:00:00.659,135.15,100,D
10:00:00.659,135.15,100,D
10:00:01.402,135.14,15,D
10:00:01.469,135.14,100,X
10:00:02.045,135.13,75,Y
10:00:02.476,135.13,50,D
10:00:02.877,135.13,40,B
10:00:02.879,135.13,135,Y
10:00:02.883,135.14,100,D
10:00:03.263,135.13,100,J
10:00:03.263,135.13,90,Y
10:00:03.264,135.13,100,J
10:00:03.400,135.13,10,V
10:00:04.556,135.14,1,D
10:00:04.619,135.13,1,D
10:00:04.805,135.13,200,B
10:00:04.805,135.13,200,J
10:00:05.674,135.13,151,D
10:00:05.774,135.14,30,D
10:00:06.717,135.13,100,Q
10:00:06.717,135.13,100,Q
10:00:06.717,135.13,200,Q
10:00:06.717,135.13,100,Q
10:00:06.717,135.13,100,Y
10:00:06.717,135.13,100,Z
10:00:06.717,135.13,100,Z
10:00:06.717,135.13,1,K
10:00:06.717,135.13,99,K
10:00:06.717,135.13,100,Z
10:00:06.717,135.13,100,K
10:00:06.717,135.13,101,K
10:00:06.717,135.13,100,K
10:00:06.717,135.13,250,K
10:00:06.717,135.13,5,K
10:00:06.717,135.13,100,K
10:00:06.718,135.13,100,Q
10:00:06.718,135.13,145,Q
10:00:06.718,135.13,100,P
10:00:06.718,135.13,200,P
10:00:06.718,135.13,100,P
10:00:06.718,135.13,100,P
10:00:06.718,135.13,100,P
10:00:06.718,135.13,100,P
10:00:06.718,135.13,155,Q
10:00:06.718,135.13,45,Q
10:00:06.723,135.13,100,D
10:00:06.735,135.12,5,V
10:00:06.739,135.12,95,D
10:00:06.863,135.13,100,D
10:00:06.934,135.12,123,Q
10:00:06.934,135.12,1,K
10:00:06.934,135.12,30,K
10:00:06.934,135.12,30,P
10:00:06.934,135.12,30,P
10:00:07.119,135.11,285,D
10:00:07.151,135.12,10,D
10:00:07.330,135.11,1,B
10:00:07.405,135.14,30,D
10:00:07.660,135.12,100,J
10:00:07.660,135.12,100,K
10:00:07.660,135.12,100,K
10:00:07.660,135.12,100,K
10:00:07.661,135.12,10,P
10:00:07.661,135.12,67,P
10:00:07.661,135.12,33,P
10:00:07.772,135.12,74,D
10:00:07.835,135.12,47,Z
10:00:07.836,135.12,84,Q
10:00:07.866,135.12,100,Q
10:00:08.455,135.13,24,X
10:00:08.456,135.13,54,Z
10:00:08.870,135.13,100,P
10:00:08.971,135.13,100,Z
10:00:08.971,135.13,100,K
10:00:09.383,135.14,16,Q
10:00:09.383,135.14,100,Q
10:00:09.383,135.14,3,Q
10:00:09.383,135.14,15,Z
10:00:09.383,135.14,100,K
10:00:09.384,135.14,100,P
10:00:09.389,135.14,100,V
10:00:09.901,135.16,53,Q
10:00:09.901,135.14,100,D
10:00:09.911,135.16,47,Q
10:00:09.911,135.16,100,Q
10:00:09.911,135.16,100,Q
10:00:09.911,135.16,100,Q
10:00:09.911,135.16,53,Q
10:00:09.911,135.16,53,X
10:00:09.911,135.16,30,Q
10:00:09.911,135.16,79,Z
10:00:09.911,135.16,4,Z
10:00:09.911,135.16,88,K
10:00:09.912,135.15,88,P
10:00:09.933,135.16,54,Q
10:00:10.190,135.15,100,D
10:00:10.406,135.14,264,D
10:00:10.532,135.15,100,P
10:00:11.017,135.15,175,D
10:00:11.083,135.15,113,Q
10:00:11.406,135.15,12,D
10:00:11.669,135.15,200,D
10:00:11.771,135.14,20,D
10:00:12.262,135.15,100,K
10:00:12.262,135.15,100,K
10:00:12.407,135.15,100,D
10:00:12.638,135.16,52,X
10:00:12.639,135.15,19,P
10:00:12.722,135.15,50,D
10:00:12.838,135.16,25,D
10:00:13.129,135.15,44,Q
10:00:13.129,135.15,56,Q
10:00:13.129,135.15,44,Q
10:00:13.129,135.15,56,Q
10:00:13.129,135.15,3,Q
10:00:13.142,135.15,45,P
10:00:13.195,135.15,400,D
10:00:13.419,135.15,10,D
10:00:13.501,135.15,100,K
10:00:13.506,135.15,200,D
10:00:13.508,135.15,200,D
10:00:13.520,135.16,100,X
10:00:13.520,135.16,87,X
10:00:13.520,135.16,17,Z
10:00:13.520,135.16,100,Z
10:00:13.520,135.16,53,Z
10:00:13.520,135.16,71,P
10:00:13.654,135.16,100,D
10:00:13.765,135.16,18,Q
10:00:13.844,135.15,175,Q
10:00:13.961,135.15,3,Q
10:00:14.023,135.15,100,D
10:00:14.052,135.15,27,K
10:00:14.052,135.15,73,K
10:00:14.054,135.15,97,Q
10:00:14.059,135.15,200,D
10:00:14.061,135.15,200,D
10:00:14.107,135.16,200,Z
10:00:14.107,135.16,100,K
10:00:14.107,135.16,2,K
10:00:14.109,135.15,47,V
10:00:14.210,135.15,1,Q
10:00:14.210,135.15,5,Q
10:00:14.374,135.15,10,D
10:00:14.730,135.16,100,Q
10:00:14.730,135.16,82,Q
10:00:14.730,135.16,100,K
10:00:14.730,135.16,47,Z
10:00:14.731,135.16,29,P
10:00:14.736,135.16,100,D
10:00:15.314,135.17,100,D
10:00:15.315,135.17,100,D
10:00:15.483,135.17,2000,D
10:00:16.407,135.16,264,D
10:00:17.366,135.17,2,D
10:00:18.918,135.17,100,D
10:00:18.921,135.17,100,D
10:00:19.589,135.16,500,D
10:00:19.676,135.16,141,D
10:00:19.839,135.17,100,D
10:00:19.909,135.17,100,Q
10:00:19.909,135.17,100,Z
10:00:19.909,135.17,100,Z
